Anonymized Coursera ID,Full Name,Email,Course Grade,Test Quiz1 [8m8uK],SGA_regression_timed [yaKbu],SGA_regression_non-timed [61kA3],SGA_hybrid_Regression [HvvyY],Team_regression [Gg2VG],Team_hybrid_assignment [oHL5o],Team_regression_Non timed [f0T5N],Assignment 2 - Grading (unlinked) [GGdEG],Graded External Tool [57y6I],Teammate Review Assessment [Zaku0],team_hema [H5NQ4],hema_assignment [DWLBg],grader SGA_regression [m6iXH],Copy of grader SGA_regression [BrQxs],SBL 1 [WMcJV],SBL 2 [opJMf],Copy of Team_regression_Non timed [NEgYJ],Test Quiz image [Uecol],Teammate Review Assessment [9VDNc],Helen's Test TMR [3uIa6],Individual SGA [Dpddz],SGA - Team Project [agXwb],Instructor_Team Staff graded assignment [JMYcL],Kate's Dog's name is Sammy [sFzDR],What is the best animal? [fa4Ly],Peer Review Assignment [lIWu8],Programming Assignment [Dzx8g],Graded External Tool [FBczY],Teammate Review Assessment [M74fi]
6ed45c7edac55bcf8ce572192b5860e230de675e,Anup Karekal,akarekal@coursera.org,46,,37,30,21,22,4,,10,,,,,,,,,,,,,,,,,,,,,
8f63c850b38c0e98d9d08f5046e3a357a5f74436,Colleen Test,colleenclee+test@gmail.com,98,,34,99,6,,,,,,,,,,,,,,,,,,,,,,,,,
702b6927ad592d38ac56ad27dfcc89e91b6be5a5,Colleen Test2,colleenclee+dup@gmail.com,98,,34,35,35,35,32,53,,,,,100,,,,,,,,,25,,,,,,,,
f308ba7abd08864586646e9f431c8bb8ce0c90b2,David Smith,katerazina1@gmail.com,98,,23,2,42,30,32,,,,,,80,,,,,,,,,10,,,,,,,,
0d5eea7b6cbb84b1a2732876c9598fc2d87c1da6,"DorfmanTest1 Kate ",k.aterazina1@gmail.com,0,,42,2,42,89,32,,,,,,60,,,,,,,,,,,,,,,,,
f714e3b06c1fd1448e563bc11a8aa4d15c0876a4,E2e_Data_coordinator,hyeddula+E2e_Data_coordinator@coursera.org,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08ec56460b6cd94d581a28c86655775f49e845d3,E2e_Partner_Admin,hyeddula+E2e_Partner_Admin@coursera.org,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03761a69fe6ce240121a3e52b568eca6b10eac63,Furniturewala Mustafa,test@gmail.com,1.88,,3,2,77,,100,,,,,,,78,,,,,,,,,,,,,,,3.4,44
14cc6d4e695537443033ebe8bc1f085939629676,kle roles5,kleroles5@coursera.org,12.2,,48.5,,100,,,,,,,,,83.33,,,,,,,,,,,,,,,,
369a27617b8c754f87996227940bd8caaa620f7c,learner1 one,Wlearner1@yopmail.com,7,15,9,10,13,,100,,,,,,76.34,,,,,,,,,100,90,1,,,,,,
b05af6578f8c10efea705f21747ec0bc57902bb3,learner2 two,Wlearner2@yopmail.com,98,15,9,10,13,,100,,,,,,,,,,,,,,,,90,1,100,,,,,
3acc42c39aa5e041149e3183f7a76c8a5ea9a38e,Priyank Chodisetti,priyank@coursera.org,11,15,87,10,13,4,,,,,,,,,,80,,,,,,,,,,,,,,
4fab1d12d95fa23a9d342ee866eaed0ae2cb867d,Sanchez Alex,asanchez@coursera.org,11,,23,10,13,3,,,,,,,,,,,,,,,,,,1,,,,,,
9f5a3edf6729ed920af9ae7811b295996a2ecbc2,Saoji Shon,shon.saoji@gmail.com,4.65,,23,10,13,,,,,,,,,,,,,,,,,,,,,,,0,,
1f866a7cc295ab3bca4f87dc4c6643f59dad6cda,uofl2 learner2,hyeddula+uofl_learner1@coursera.org,13.8,15,89,10,13,,,,,,,,,,,,,,,,,,,1,50,,,,,
